Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
Travel Family Marketing LLC,DMCC,,,Unmapped,,,,,,
TRC Pamco Middle East Auditing & Accounting L.L.C,DMCC,,,Unmapped,,,,,,
Trendyol Arabia For Trading LLC,KSA,3PL - Commission and charges,3PL - Commission and charges,Suggested,100%,2,545.0,1,Detailed GL,Trendyol Arabia For Trading LLC
Trendyol DWC-LLC,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,57%,133,35130.94,4,Zoho Bills (line items),Trendyol DWC-LLC
Trendyol DWC-LLC/العصرية DWC-LLC,KSA,,,Unmapped,,,,,,
Tri D Express Logistics W.L.L,KUWA,Last Mile,Last Mile,Suggested,81%,12,7852.73,3,Zoho Bills (line items),Tri D Express Logistics W.L.L
TRINITY MEDIA,DMCC,,,Unmapped,,,,,,
TRIPLE C GLOBAL,DMCC,,,Unmapped,,,,,,
TRISEAS GENERAL TRADING LLC,DMCC,,,Unmapped,,,,,,
Trunative F & B Pvt Ltd,DMCC,,,Unmapped,,,,,,
TSI Global F.Z.C.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,3,8550.0,1,Zoho Bills (line items),TSI Global F.Z.C.
TWINKLE STANLY,DMCC,,,Unmapped,,,,,,
UCD Saftey Systems L.L.C,DMCC,,,Unmapped,,,,,,
UGC CONTENT CREATOR,DMCC,,,Unmapped,,,,,,
ULTRAHUMAN HEALTHCARE - SOLE PROPRIETORSHIP L.L.C,DMCC,Inventory Asset,Inventory Asset,Suggested,92%,71,627524.6,3,Zoho Bills (line items),ULTRAHUMAN HEALTHCARE - SOLE PROPRIETORSHIP L.L.C.
ULTRAHUMAN HEALTHCARE - SOLE PROPRIETORSHIP L.L.C.,KUWA,Inventory Asset,Inventory Asset,Suggested,92%,71,627524.6,3,Zoho Bills (line items),ULTRAHUMAN HEALTHCARE - SOLE PROPRIETORSHIP L.L.C.
Umm al Qura Pharmacy,DMCC,,,Unmapped,,,,,,
UMMER SHAIQ SHERIEF,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,293.68,1,Zoho Bills (line items),UMMER SHAIQ SHERIEF
UNICARE MEDICAL CENTER LLC,DMCC,,,Unmapped,,,,,,
UNICOMMERCE ESOLUTIONS LIMITED,KUWA,Subscription Charges,Subscription Charges,Needs review,78%,24,86961.42,2,Zoho Bills (line items),UNICOMMERCE ESOLUTIONS LIMITED
Unicommerce eSolutions Private Limited,DMCC,Subscription Charges,Subscription Charges,Needs review,78%,24,86961.42,2,Zoho Bills (line items),UNICOMMERCE ESOLUTIONS LIMITED
Unifonic FZE,DMCC,,,Unmapped,,,,,,
Unilabs Middle East LLC,DMCC,,,Unmapped,,,,,,
Unit 27 Physical Fitness Club,DMCC,,,Unmapped,,,,,,
United Arab Emirates ministry of Foreign Affairs,KUWA,Government Relation Expenses,Government Relation Expenses,Suggested,100%,7,1725.01,1,Zoho Bills (line items),United Arab Emirates ministry of Foreign Affairs
United Arab Emirates Ministry of Health & Prevention,KUWA,Government Relation Expenses,Government Relation Expenses,Needs review,66%,10,1317.34,2,Zoho Bills (line items),United Arab Emirates Ministry of Health & Prevention
UNITED DRUGS STORE L.L.C,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,2,1258.7,1,Zoho Bills (line items),UNITED DRUGS STORE L.L.C
unmarketd FZE LLE,DMCC,,,Unmapped,,,,,,
Untraceable FZ LLE,DMCC,,,Unmapped,,,,,,
UPAKARMA AYURVEDA PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,95%,145,279735.32,6,Zoho Bills (line items),UPAKARMA AYURVEDA PRIVATE LIMITED
Upcloseandhealthy,DMCC,,,Unmapped,,,,,,
Upfluence,DMCC,,,Unmapped,,,,,,
UPM WORLD TRADING LLC,"DMCC, KUWA",Prepaid Expenses,Prepaid Expenses,Needs review,79%,3,2500.0,2,Zoho Bills (line items),UPM WORLD TRADING LLC
UPS GOLF LLC,DMCC,,,Unmapped,,,,,,
UPS Gulf LLC,DMCC,,,Unmapped,,,,,,
Upturn Consultancy LLC,KUWA,Inventory Asset,Inventory Asset,Needs review,49%,64,68596.11,5,Zoho Bills (line items),Upturn Consultancy LLC
Valeo Wellbeing Technologies DMCC,"KSA, KUWA",Others - Marketing Expenses,Others - Marketing Expenses,Needs review,62%,6,3009085.23,2,Zoho Bills (line items),Valeo Wellbeing Technologies DMCC
Vedapure Naturals PVT. LTD,DMCC,,,Unmapped,,,,,,
VEDAPURE NATURALSPVT. LTD,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,243,191065.47,2,Zoho Bills (line items),VEDAPURE NATURALSPVT. LTD
Velbicol Management Consultancy FZ LLC,"DMCC, HOLDING, VWHC",,,Unmapped,,,,,,
Vesta Care,DMCC,,,Unmapped,,,,,,
Videographer,KSA,,,Unmapped,,,,,,
Vieroots Health Awareness Servies Est.,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,9523.81,1,Zoho Bills (line items),Vieroots Health Awareness Servies Est.
Virgin Mobile,DMCC,,,Unmapped,,,,,,
Viridian International Ltd,DMCC,,,Unmapped,,,,,,
Visage Lines Personal Care Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,25,53546.63,2,Zoho Bills (line items),Visage Lines Personal Care Private Limited
Vital Neutraceuticals PVT.LTD,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,9,413148.4,1,Zoho Bills (line items),VITAL NEUTRACEUTICALS PVT. LTD. | Vital Neutraceuticals PVT.LTD
Vitality Medical Services Company,KSA,,,Unmapped,,,,,,
Vitalwoman Wellness,DMCC,,,Unmapped,,,,,,
VITAMED LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,758,1043945.31,3,Zoho Bills (line items),VITAMED LLC
VITAMED LLC / GMG,KUWA,,,Unmapped,,,,,,
Vitamin DECK.ae,DMCC,,,Unmapped,,,,,,
VIVANDI GENERAL,DMCC,Inventory Asset,Inventory Asset,Suggested,92%,103,868658.28,3,Zoho Bills (line items),VIVANDI GENERAL TRADING L.L.C
VIVANDI GENERAL TRADING L.L.C,KUWA,Inventory Asset,Inventory Asset,Suggested,92%,103,868658.28,3,Zoho Bills (line items),VIVANDI GENERAL TRADING L.L.C
Vivestra Consulting FZCO,DMCC,,,Unmapped,,,,,,
Vlado Sky Enterprise Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,91,49372.99,1,Zoho Bills (line items),Vlado Sky Enterprise Pvt Ltd
VO2 Master,DMCC,,,Unmapped,,,,,,
VPlab SIA,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,4,73161.36,1,Zoho Bills (line items),VPlab SIA
W.J. Towell Co. (L.L.C.),KUWA,Inventory Asset,Inventory Asset,Suggested,100%,19,20460.11,2,Zoho Bills (line items),W.J. Towell Co. (L.L.C.)
Wafa Khaled Basulaiman,KSA,,,Unmapped,,,,,,
WAREED HEALTH COMPANY,DMCC,,,Unmapped,,,,,,
Wareed Medical Laboratories,KSA,,,Unmapped,,,,,,
Waseem Heavy & Light Truks Transport llc,KUWA,,,Unmapped,,,,,,
WASP International Drug Store LLC,DMCC,,,Unmapped,,,,,,
WATSONS (Br. of Al-Futtaim Trdg. Co.) LLC,KUWA,Marketing and sales promotion expenses,Marketing and sales promotion expenses,Suggested,100%,40,26398.04,1,Zoho Bills (line items),WATSONS (Br. of Al-Futtaim Trdg. Co.) LLC
Wave Links,KSA,,,Unmapped,,,,,,
WeBFit,DMCC,,,Unmapped,,,,,,
Wellbene,DMCC,,,Unmapped,,,,,,
Wellbene Life Sciences FZCO,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,66,21484.35,1,Zoho Bills (line items),Wellbene Life Sciences FZCO
Wellness Ville Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,97%,172,104593.02,2,Zoho Bills (line items),WELLNESS VILLE PRIVATE LIMITED | Wellness Ville Private Limited
WELLNESS VILLE PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,97%,172,104593.02,2,Zoho Bills (line items),WELLNESS VILLE PRIVATE LIMITED | Wellness Ville Private Limited
Wellversed Health Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,82,192915.82,2,Zoho Bills (line items),Wellversed Health Private Limited
WHITE AND BLACK LIGHTS P&E SER LLC,DMCC,,,Unmapped,,,,,,
White Hands Home Medical Care Company,DMCC,,,Unmapped,,,,,,
White Hands Medical Care Co/شركة الأيادي البيضاء للرعاية الطبية,KSA,,,Unmapped,,,,,,
Wholesome Wellness,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,8,48990.08,1,Zoho Bills (line items),Wholesome Wellness
WIN VISION TECHNICAL SERVICES WORKS LLC,KUWA,Capital Expenditure,Capital Expenditure,Needs review,78%,7,437250.0,2,Zoho Bills (line items),WIN VISION TECHNICAL SERVICES WORKS LLC
WizRocket Inc,DMCC,COS - Marketing Expenses,COS - Marketing Expenses,Suggested,100%,1,48891.3,1,Detailed GL,WizRocket Inc
Wizroots Technology Pvt Ltd,DMCC,,,Unmapped,,,,,,
Yandex Europe AG (Public Company),DMCC,,,Unmapped,,,,,,
Yashtech Trading LLC,DMCC,,,Unmapped,,,,,,
Yatin,PVT,,,Unmapped,,,,,,
Yes2growth Consulting LLP,"DMCC, KUWA",Consultant Expense,Consultant Expense,Suggested,100%,6,22709.0,1,Zoho Bills (line items),Yes2growth Consulting LLP
Yulia Dunaievska,DMCC,,,Unmapped,,,,,,
YUMI NUTRITION LTD,KUWA,Inventory Asset,Inventory Asset,Needs review,77%,26,29099.21,2,Zoho Bills (line items),YUMI NUTRITION LTD | YUMI NUTRITION LTD.
YUMI NUTRITION LTD.,KUWA,Inventory Asset,Inventory Asset,Needs review,77%,26,29099.21,2,Zoho Bills (line items),YUMI NUTRITION LTD | YUMI NUTRITION LTD.
Z'neem Pharmacy,DMCC,,,Unmapped,,,,,,
ZADD B.P.O & Consulting FZE,DMCC,,,Unmapped,,,,,,
Zafar,DMCC,,,Unmapped,,,,,,
Zakha home healthcare Center LLC,DMCC,,,Unmapped,,,,,,
Zankhana Brijal Shah,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,500.0,1,Zoho Bills (line items),Zankhana Brijal Shah
Zed lifestyle Pvt ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,280,310016.52,2,Zoho Bills (line items),Zed lifestyle Pvt ltd
Zein Nimri,DMCC,,,Unmapped,,,,,,
Zeina_AST,DMCC,,,Unmapped,,,,,,
Zeinab Ali Hammoud,DMCC,,,Unmapped,,,,,,
Zeinab Jaber,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),Zeinab Jaber
Zena Habi,DMCC,,,Unmapped,,,,,,
Zenith,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,75,418222.16,2,Zoho Bills (line items),Zenith
ZENOS HEALTH,KSA,,,Unmapped,,,,,,
Zest Equity Holding SPC,DMCC,,,Unmapped,,,,,,
ZHONGSHAN MARKSINO CO,KUWA,,,Unmapped,,,,,,
Zhongshan MCC Lights,DMCC,,,Unmapped,,,,,,
zikarya,DMCC,,,Unmapped,,,,,,
ZK Event Production (Ziakhaliq),KSA,,,Unmapped,,,,,,
ZOHO Corporation Pte Ltd,"DMCC, KUWA",Subscription Charges,Subscription Charges,Suggested,100%,8,1434.0,1,Zoho Bills (line items),ZOHO Corporation Pte Ltd
Zoho Technologies Company,SAHA,Mid Mile,Mid Mile,Needs review,50%,2,77.33,2,Detailed GL,Zoho Technologies Company
Zoho Technologies Company/شركة زوهو تكنولوجيز,KSA,Mid Mile,Mid Mile,Needs review,50%,2,77.33,2,Detailed GL,Zoho Technologies Company
Zone Delivery Services,KUWA,Last Mile,Last Mile,Suggested,100%,69,146602.43,1,Zoho Bills (line items),Zone Delivery Services
Zoom,DMCC,,,Unmapped,,,,,,
شركة خدمات نفاس للرعاية,KSA,,,Unmapped,,,,,,
شركة ناول للتخزين - Nawal Storage Company,SAHA,Mid Mile,Mid Mile,Needs review,62%,9,59759.7,3,Detailed GL,شركة ناول للتخزين - Nawal Storage Company
مؤسسة معيض بن محمد بن علي النجراني للإنتاج الفني,KSA,,,Unmapped,,,,,,
ﺔﻳرﺎﺠﺘﻟا ىدﻼﺒﻟا ﺪﻤﺣ ﷲﺪﺒﻋ ﺮﻤﻋ ﺔﺴﺳﺆﻣ Omar,KSA,,,Unmapped,,,,,,
